gene,n_a,n_b,log2_mean_a,log2_mean_b,log2_fc,U,p,p_bh
MFAP1,11,15,16.526246360405352,16.507837256754254,0.01840910365109849,97.0,0.467471632096374,0.8656198702027021
FNTA,11,15,15.396365753228487,15.424154243062624,-0.027788489834136954,68.0,0.467471632096374,0.8656198702027021
EEFSEC,11,15,15.13538961836084,15.265098618306563,-0.1297089999457235,68.0,0.467471632096374,0.8656198702027021
ATP6V1D,11,15,16.896438014784714,16.973900243994063,-0.07746222920934898,68.0,0.467471632096374,0.8656198702027021
IGHG3,11,15,16.367764808521446,15.929765810034091,0.43799899848735535,97.0,0.467471632096374,0.8656198702027021
NCBP1,11,15,16.51864415530416,16.59026655590446,-0.071622400600301,68.0,0.467471632096374,0.8656198702027021
CUL2,11,15,14.929849528644155,14.935044882750661,-0.0051953541065064,68.0,0.467471632096374,0.8656198702027021
ARMCX3,11,15,15.537426509266254,15.481607764730002,0.055818744536251685,97.0,0.467471632096374,0.8656198702027021
DNAJC8,11,15,17.510722160699814,17.35439745526606,0.15632470543375376,97.0,0.467471632096374,0.8656198702027021
CELF2,9,14,12.839335541790662,12.963863788339184,-0.12452824654852179,51.0,0.4688006174372942,0.8666148199628899
DHX37,9,14,14.253695275023883,14.362182921064344,-0.10848764604046046,51.0,0.4688006174372942,0.8666148199628899
GINS2,9,14,13.993006610600176,14.14411231630348,-0.15110570570330317,51.0,0.4688006174372942,0.8666148199628899
USP48,9,14,12.75594437221904,12.595198051602305,0.16074632061673633,75.0,0.4688006174372942,0.8666148199628899
RAD51,9,14,13.38109469893016,13.123570668927382,0.25752403000277724,75.0,0.4688006174372942,0.8666148199628899
VTI1B,9,14,16.378816790520872,16.512452977467596,-0.13363618694672397,51.0,0.4688006174372942,0.8666148199628899
ARHGAP22,7,9,11.702071574752756,11.64071219425981,0.06135938049294509,39.0,0.46975524475524477,0.8676469200091247
HOXC12,7,9,11.680099878200611,11.558325796344798,0.12177408185581307,39.0,0.46975524475524477,0.8676469200091247
GEMIN8,7,9,13.890560675767778,13.53394755110898,0.35661312465879824,39.0,0.46975524475524477,0.8676469200091247
NDUFB3,11,11,14.835200710865905,14.509533187326042,0.32566752353986317,72.0,0.4701007598741286,0.8680409870265045
PRKAR1B,8,12,14.209465718186674,14.057620006868332,0.15184571131834268,58.0,0.4726680955783123,0.8708013301452362
BCL2,8,12,11.689635450162694,11.333570629751712,0.35606482041098175,58.0,0.4726680955783123,0.8708013301452362
THADA,8,12,11.671056267890604,11.548511300779447,0.12254496711115692,58.0,0.4726680955783123,0.8708013301452362
FRK,8,12,14.394905874632476,14.191447902475232,0.20345797215724382,58.0,0.4726680955783123,0.8708013301452362
AURKA,8,12,12.442230798319727,12.585582044336396,-0.14335124601666926,38.0,0.4726680955783123,0.8708013301452362
AAR2,8,12,12.397017917201534,12.261751469193975,0.1352664480075596,58.0,0.4726680955783123,0.8708013301452362
PHF2,8,12,15.351136115855544,15.249705936717781,0.10143017913776298,58.0,0.4726680955783123,0.8708013301452362
N4BP1,8,12,12.859501646219744,12.833149037439362,0.026352608780381814,58.0,0.4726680955783123,0.8708013301452362
APOBEC3B,13,13,16.239499175263482,16.120856440360576,0.118642734902906,99.0,0.4727889073230682,0.8708013301452362
TNFSF12;TNFSF13,7,10,15.205196079660624,15.426516277249414,-0.22132019758879018,27.0,0.4747017688194159,0.8728558839882206
SYNE3,7,10,12.080506160470621,12.00647832781912,0.0740278326515007,43.0,0.4747017688194159,0.8728558839882206
NCBP2AS2,10,7,9.8307535963975,9.862933243323255,-0.03217964692575492,27.0,0.4747017688194159,0.8728558839882206
FBXO4,7,10,10.894291393802968,10.714557821849292,0.17973357195367612,43.0,0.4747017688194159,0.8728558839882206
CYRIA,7,10,13.967627499060947,14.13342296090282,-0.16579546184187244,27.0,0.4747017688194159,0.8728558839882206
PTPRS,7,10,11.77800829918557,11.912421186788773,-0.1344128876032027,27.0,0.4747017688194159,0.8728558839882206
SARG,10,13,14.519164943505237,14.234592075153598,0.2845728683516384,77.0,0.4757221771273181,0.8731316943869654
SLC35A4,10,13,11.91075770448209,11.707858595284526,0.20289910919756515,77.0,0.4757221771273181,0.8731316943869654
TNIP1,4,6,9.481422064078112,9.17596716117876,0.30545490289935273,16.0,0.47619047619047616,0.8731316943869654
MAP3K3,4,6,10.405738874565966,10.042837306151304,0.3629015684146619,16.0,0.47619047619047616,0.8731316943869654
DUSP12,7,11,11.44156559613103,11.693435812656979,-0.25187021652594943,30.0,0.4789467068878833,0.8731316943869654
GPT2,7,11,11.216469067210552,11.056490881011845,0.15997818619870685,47.0,0.4789467068878833,0.8731316943869654
ZW10,11,12,15.498967084076975,15.404341761668833,0.0946253224081417,78.0,0.4790843272053482,0.8731316943869654
UFL1,12,15,18.01316691782021,17.951409701754606,0.06175721606560458,105.0,0.47923869644716965,0.8731316943869654
CIAPIN1,12,15,15.257187465585304,15.170681178979494,0.08650628660580928,105.0,0.47923869644716965,0.8731316943869654
