cell_type,gene,r,p,rank,direction,p_bh
Secretory_Goblet,ELOB,-0.5210511912655188,0.00014642586124780088,5,neg,0.00023569555130430726
Suprabasal,PEA15,-0.5726033722309808,2.1122838077536343e-05,1,neg,6.235524155730286e-05
Suprabasal,YWHAH,-0.568338339340174,2.5101986209641325e-05,2,neg,7.084822202030912e-05
Suprabasal,TIGAR,-0.5664582464250992,2.7065816517568564e-05,3,neg,7.415292196594127e-05
Suprabasal,LAP3,-0.5627414110187499,3.136964094530015e-05,4,neg,8.184573797388292e-05
Suprabasal,ANAPC4,-0.5388210399245156,7.783460520616181e-05,5,neg,0.00015566921041232362
T_reg,BAZ1B,-0.6107694520782116,4.0248165362744e-06,1,neg,1.6344432634616854e-05
T_reg,ITGB7,-0.476104399135363,0.0006251614807948336,2,neg,0.0007600747486867278
T_reg,ERC1,-0.45699458019977246,0.0010937294410728882,3,neg,0.001211888577366081
T_reg,NCOR1,-0.4562378650059158,0.0011174889226033269,4,neg,0.0012263252922944602
T_reg,FEN1,-0.43887329611564485,0.0018058214269087713,5,neg,0.0018713175408381051
gdT,BAZ1B,-0.5959896676208476,7.843850852617962e-06,1,neg,2.7045709449970616e-05
gdT,ITGB7,-0.50870673051056,0.00022259516441258675,2,neg,0.00032418708593953937
gdT,NCOR1,-0.4648851718442463,0.0008715783330430771,3,neg,0.001006151033815962
gdT,ZFYVE19,-0.453519132472413,0.0012067043729124816,4,neg,0.0013134197256190277
gdT,LAP3,-0.4320921907909641,0.0021635161084330168,5,neg,0.0022048571805686795
AT1,RPS6KB2,0.5567008087753959,3.972284130915327e-05,1,pos,9.894108622474998e-05
AT1,ANPEP,0.5552082525623779,4.2079359603208744e-05,2,pos,0.00010109155460230329
AT1,SF3B5,0.5391517970072385,7.68984730445954e-05,3,pos,0.00015535045059514223
AT1,FLNB,0.5286658003774303,0.00011217157933240962,4,pos,0.00019636162684010436
AT1,NQO1,0.5259548629930935,0.0001234247819372758,5,pos,0.0002087522738896842
AT2,NQO1,0.5621217857531697,3.2145404688987966e-05,1,pos,8.349455763373497e-05
AT2,NECTIN4,0.5393516209942654,7.633791380090571e-05,2,pos,0.00015480144590814912
AT2,CPQ,0.5385295611616152,7.866818754043159e-05,3,pos,0.0001565166478835991
AT2,SF3B5,0.5306222377930759,0.00010464036661006482,4,pos,0.00018644163315824466
AT2,TM9SF2,0.5231955789779824,0.00013592607681500724,5,pos,0.00022355191318398294
B_memory,NQO1,0.5218708614895371,0.00014232827576243778,1,pos,0.00023002549618171761
B_memory,GFUS,0.5197843848013103,0.00015297021710747316,2,pos,0.00024475234737195704
B_memory,ENO1,0.515078471604882,0.00017967854960643237,3,pos,0.00027589796484672914
B_memory,TM9SF2,0.49519109897850927,0.00034584469064480317,4,pos,0.00047053699407456216
B_memory,UCHL3,0.49347828919715636,0.0003652334361292642,5,pos,0.0004925906948077799
B_naive,NECTIN4,0.5457711376760382,6.019859411998674e-05,1,pos,0.00013158162649177428
B_naive,RPS6KB2,0.5429263424461501,6.692027099441944e-05,2,pos,0.00014299766164877308
B_naive,UCHL3,0.5364117640265935,8.497396378936983e-05,3,pos,0.00016301959479975028
B_naive,ATP1A1,0.5363457369366789,8.517777912131486e-05,4,pos,0.00016301967295945428
B_naive,SF3B5,0.5351432016296191,8.896879329900464e-05,5,pos,0.00016730447358599354
B_plasma_IgA,PHB2,0.6897175772413576,5.8910564426639667e-08,1,pos,5.178950718825465e-07
B_plasma_IgA,MAGOHB,0.6760864700343706,1.3387840902545634e-07,2,pos,9.91691918707084e-07
B_plasma_IgA,RCC1,0.6753338882366029,1.3991025116233402e-07,3,pos,1.0083621705393441e-06
B_plasma_IgA,NUDC,0.6720649283649653,1.6917828959961412e-07,4,pos,1.166746824824925e-06
B_plasma_IgA,RBBP4,0.6701470637634579,1.889149570111215e-07,5,pos,1.2807793695669254e-06
B_plasma_IgG,GNL2,0.5537434097317779,4.45160971982439e-05,1,pos,0.00010505273675101805
B_plasma_IgG,ADI1,0.5487387224312259,5.385003728353155e-05,2,pos,0.00012039093004548198
B_plasma_IgG,TELO2,0.5423735702881013,6.83034082546996e-05,3,pos,0.00014463723972321586
B_plasma_IgG,HLTF,0.5347265152377605,9.031792231062319e-05,4,pos,0.00016842502994988007
B_plasma_IgG,UTP6,0.5119543456295288,0.0001996796022889491,5,pos,0.00029692134169360463
B_plasmablast,ADI1,0.6790199670395963,1.1260980459226744e-07,1,pos,8.579794635601329e-07
B_plasmablast,ISYNA1,0.6361168520907264,1.1804943444992944e-06,2,pos,6.254274672843944e-06
B_plasmablast,NUDC,0.6211837580520362,2.4636262783150897e-06,3,pos,1.1327017371563632e-05
B_plasmablast,SULT1A1,0.6043515304423358,5.399677549089432e-06,4,pos,2.0376141694677102e-05
B_plasmablast,PPAT,0.6021331396797706,5.968108481635426e-06,5,pos,2.2104105487538613e-05
Basal,MSI2,0.4835011592184385,0.0004990265700022256,1,pos,0.0006408045842725208
Basal,XPO7,0.47724013637057056,0.0006040982533446204,2,pos,0.0007412248507295957
Basal,KRT33B,0.460038660907134,0.001002647260422318,3,pos,0.001129743392025147
Basal,LRRC47,0.45178789059984953,0.0012667777898140997,4,pos,0.0013657981561338002
Basal,CCAR2,0.443865140718987,0.0015771310227052915,5,pos,0.0016557806012653979
CD4_EM_Effector,NECTIN4,0.5562720922987453,4.038701555253432e-05,1,pos,9.962327472579422e-05
CD4_EM_Effector,RPS6KB2,0.5533544653720306,4.518447647217094e-05,2,pos,0.00010569468180624782
CD4_EM_Effector,NQO1,0.5494467200035879,5.24289428871505e-05,3,pos,0.00011814973044991663
CD4_EM_Effector,ENO1,0.5371171921905299,8.282404397697007e-05,4,pos,0.00016043398349049895
CD4_EM_Effector,CPQ,0.5303621410225658,0.00010561428293121011,5,pos,0.00018734240874715763
CD4_TRM,ATP1A1,0.5561680907303365,4.054966379340996e-05,1,pos,9.962327472579422e-05
CD4_TRM,NECTIN4,0.5561382232758896,4.059648445076114e-05,2,pos,9.962327472579422e-05
CD4_TRM,EPHX2,0.5466350399658798,5.828321233591893e-05,3,pos,0.00012844785087805826
CD4_TRM,RPS6KB2,0.5455288111635885,6.074611223327864e-05,4,pos,0.00013239912704159266
CD4_TRM,ENO1,0.5427888082587997,6.726199218287654e-05,5,pos,0.00014311062166569478
CD4_naive_CM,ABCB6,0.4850937190674211,0.00047507516926370563,1,pos,0.0006149840378818196
CD4_naive_CM,PGM3,0.4773496726594464,0.0006021009521111065,2,pos,0.000739909004130392
CD4_naive_CM,SLC2A1,0.47073659374275084,0.0007339239806807285,3,pos,0.0008698358289549375
CD4_naive_CM,ANAPC4,0.4450079049383863,0.0015285535554570018,4,pos,0.001611123642115417
CD4_naive_CM,ST13,0.43621292162653486,0.0019393538096006413,5,pos,0.001989080830359632
CD8_EM,NECTIN4,0.5566352277383421,3.982378720546187e-05,1,pos,9.894108622474998e-05
