A,B,R,z,p
AT2,B_naive,0.6547447443008423,427.6532287597656,0.0
AT2,B_plasma_IgA,0.005434134509414434,3.549360513687134,0.0003861679930223028
AT2,B_plasma_IgG,0.21923723816871643,143.19703674316406,0.0
AT2,B_plasmablast,0.42423325777053833,277.09228515625,0.0
AT2,Basal,0.036486271768808365,23.83138084411621,1.5796960994004845e-125
AT2,CD4_EM_Effector,0.6601194143295288,431.1637268066406,0.0
AT2,CD4_TRM,0.6331702470779419,413.5616149902344,0.0
AT2,CD4_naive_CM,0.6131690144538879,400.4975891113281,0.0
AT2,CD8_EM,0.6583403944969177,430.0017395019531,0.0
AT2,CD8_EM_EMRA,0.6985433101654053,456.26068115234375,0.0
AT2,CD8_TRM_EM,0.6732107996940613,439.7145080566406,0.0
AT2,CD8_TRM,0.6104884147644043,398.7467346191406,0.0
AT2,Chondrocyte,0.3177502453327179,207.54180908203125,0.0
AT2,Ciliated,-0.014062542468309402,-9.18509292602539,4.111721476291896e-20
AT2,DC_1,0.6711834073066711,438.3902893066406,0.0
AT2,DC_2,0.6632299423217773,433.1954040527344,0.0
AT2,DC_activated,0.6870275139808655,448.7390441894531,0.0
AT2,DC_plasmacytoid,0.6189957857131958,404.30340576171875,0.0
AT2,Deuterosomal,-0.138888418674469,-90.71638488769531,0.0
AT2,Dividing_AT2,0.58866286277771,384.49114990234375,0.0
AT2,Dividing_Basal,0.30614736676216125,199.96327209472656,0.0
AT2,Endothelia_Lymphatic,0.40867531299591064,266.9304504394531,0.0
AT2,Endothelia_vascular_Cap_a,0.6771963238716125,442.31768798828125,0.0
AT2,Endothelia_vascular_Cap_g,0.6543993949890137,427.4276428222656,0.0
AT2,Endothelia_vascular_arterial_pulmonary,0.514893651008606,336.30804443359375,0.0
AT2,Endothelia_vascular_arterial_systemic,0.21421192586421967,139.91470336914062,0.0
AT2,Endothelia_vascular_venous_pulmonary,0.45365849137306213,296.3116760253906,0.0
AT2,Endothelia_vascular_venous_systemic,0.31199729442596436,203.7842254638672,0.0
AT2,Erythrocyte,0.6888039708137512,449.89935302734375,0.0
AT2,Fibro_adventitial,0.1893121898174286,123.65119171142578,0.0
AT2,Fibro_alveolar,0.6826218366622925,445.8614196777344,0.0
AT2,Fibro_immune_recruiting,0.3495301306247711,228.29917907714844,0.0
AT2,Fibro_myofibroblast,0.20027601718902588,130.8123321533203,0.0
AT2,Fibro_peribronchial,0.2664633095264435,174.04322814941406,0.0
AT2,Fibro_perichondrial,0.12649360299110413,82.62059020996094,0.0
AT2,ILC,0.6485404372215271,423.6007995605469,0.0
AT2,Ionocyte_n_Brush,0.019719315692782402,12.87987232208252,5.843214413342711e-38
AT2,MAIT,0.6900697946548462,450.72613525390625,0.0
AT2,Macro_CHIT1,0.5060135722160339,330.5079345703125,0.0
AT2,Macro_interstitial,0.6961871981620789,454.7217712402344,0.0
AT2,Macro_AW_CX3CR1,0.5889706015586853,384.6921691894531,0.0
AT2,Macro_alveolar_metallothioneins,0.6490879654884338,423.95843505859375,0.0
AT2,Macro_alv,0.4791029393672943,312.93096923828125,0.0
AT2,Macro_dividing,0.5690797567367554,371.70025634765625,0.0
AT2,Macro_int,0.6468220949172974,422.47845458984375,0.0
AT2,Macro_CCL,0.6939734220504761,453.27581787109375,0.0
AT2,Mast_cell,0.6294085383415222,411.1046142578125,0.0
AT2,Megakaryocyte,0.38104692101478577,248.8846893310547,0.0
AT2,Mesothelia,0.38256940245628357,249.8791046142578,0.0
AT2,Macrophage_intermediate,0.6577704548835754,429.6294860839844,0.0
AT2,Monocyte_CD14,0.6852760314941406,447.59503173828125,0.0
AT2,Monocyte_CD16,0.6804697513580322,444.4557800292969,0.0
AT2,Muscle_airway,0.02525501325726509,16.495569229125977,3.9482147349859086e-61
AT2,Muscle_pericyte_airway,0.3240780234336853,211.67486572265625,0.0
AT2,Muscle_pericyte_parenchyma,0.6498371958732605,424.4477844238281,0.0
AT2,Muscle_perivascular_immune_recruiting,0.3841407299041748,250.9054412841797,0.0
AT2,Muscle_smooth_pulmonary,0.02514384314417839,16.422958374023438,1.3101992301047547e-60
AT2,Muscle_smooth_syst_arterial,0.0225810669362545,14.749053955078125,3.1200769878028754e-49
AT2,Myoepithelial,0.36553648114204407,238.75389099121094,0.0
AT2,NAF_endoneurial,0.029065625742077827,18.98451042175293,2.2906121285296345e-80
AT2,NAF_perineurial,0.027771420776844025,18.13918685913086,1.5632693738482333e-73
AT2,NK_CD16hi,0.6541656255722046,427.27496337890625,0.0
AT2,NKT,0.6892592906951904,450.1967468261719,0.0
AT2,NK_CD11d,0.6040904521942139,394.5678405761719,0.0
AT2,NK_CD56bright,0.5737617015838623,374.75830078125,0.0
AT2,Neuroendocrine,0.3936208486557007,257.09747314453125,0.0
AT2,SMG_Basal,0.34577858448028564,225.84881591796875,0.0
AT2,SMG_Duct,0.27942952513694763,182.5122528076172,0.0
AT2,SMG_Mucous,0.33478623628616333,218.66905212402344,0.0
AT2,SMG_Serous,0.31819435954093933,207.83189392089844,0.0
AT2,Schwann_Myelinating,0.19681455194950104,128.5514373779297,0.0
AT2,Schwann_nonmyelinating,-0.23983994126319885,-156.65390014648438,0.0
AT2,Secretory_Club,0.03991605341434479,26.071577072143555,7.660640187855058e-150
AT2,Secretory_Goblet,-0.21045483648777008,-137.46072387695312,0.0
AT2,Suprabasal,-0.031565554440021515,-20.61736488342285,1.9172032826116747e-94
AT2,T_reg,0.6629461646080017,433.0100402832031,0.0
AT2,gdT,0.6666061878204346,435.400634765625,0.0
B_memory,B_memory,0.7981597185134888,521.326171875,0.0
B_memory,B_naive,0.7191008925437927,469.6880798339844,0.0
B_memory,B_plasma_IgA,-0.046686429530382156,-30.493717193603516,3.156867570863927e-204
B_memory,B_plasma_IgG,0.276090145111084,180.3311004638672,0.0
B_memory,B_plasmablast,0.5752922296524048,375.75799560546875,0.0
B_memory,Basal,-0.008587378077208996,-5.608933448791504,2.0357728278682838e-08
B_memory,CD4_EM_Effector,0.7293304800987244,476.3696594238281,0.0
B_memory,CD4_TRM,0.700212299823761,457.3507995605469,0.0
B_memory,CD4_naive_CM,0.7664693593978882,500.6272888183594,0.0
B_memory,CD8_EM,0.7228441834449768,472.133056640625,0.0
B_memory,CD8_EM_EMRA,0.7750523686408997,506.2333679199219,0.0
B_memory,CD8_TRM_EM,0.7256188988685608,473.9454040527344,0.0
B_memory,CD8_TRM,0.6354195475578308,415.03076171875,0.0
B_memory,Chondrocyte,0.44888031482696533,293.1907653808594,0.0
B_memory,Ciliated,-0.077633798122406,-50.707305908203125,0.0
B_memory,DC_1,0.7802535891532898,509.6305847167969,0.0
B_memory,DC_2,0.7126187086105347,465.4541931152344,0.0
B_memory,DC_activated,0.7449877262115479,486.5963439941406,0.0
B_memory,DC_plasmacytoid,0.6796261072158813,443.90472412109375,0.0
B_memory,Deuterosomal,-0.18749497830867767,-122.4642562866211,0.0
B_memory,Dividing_AT2,0.6054840087890625,395.4780578613281,0.0
B_memory,Dividing_Basal,0.3166203498840332,206.80381774902344,0.0
B_memory,Endothelia_Lymphatic,0.5622408986091614,367.2333679199219,0.0
B_memory,Endothelia_vascular_Cap_a,0.6924429535865784,452.27618408203125,0.0
B_memory,Endothelia_vascular_Cap_g,0.6709448099136353,438.2344665527344,0.0
B_memory,Endothelia_vascular_arterial_pulmonary,0.5830675363540649,380.8365173339844,0.0
B_memory,Endothelia_vascular_arterial_systemic,0.25957098603248596,169.54144287109375,0.0
B_memory,Endothelia_vascular_venous_pulmonary,0.5661905407905579,369.8131408691406,0.0
