gene,n_a,n_b,log2_mean_a,log2_mean_b,log2_fc,U,p,p_bh
TMX4,4,8,17.696651851308495,17.775549046751557,-0.07889719544306217,13.0,0.6828282828282828,1.0
STK17B,4,8,13.273307984494076,13.139979573629248,0.13332841086482894,19.0,0.6828282828282828,1.0
SLK,4,8,15.094724308267104,15.01856403960866,0.07616026865844283,19.0,0.6828282828282828,1.0
RASSF2,4,8,13.855876592350302,13.928520767579805,-0.0726441752295024,13.0,0.6828282828282828,1.0
ACSF3,4,8,14.448279402611591,14.73408779716799,-0.2858083945563994,13.0,0.6828282828282828,1.0
EPS15L1,4,8,17.517958122046466,17.459016172225162,0.0589419498213033,19.0,0.6828282828282828,1.0
SNTB2,4,8,14.941588792200296,15.050101885269239,-0.10851309306894308,13.0,0.6828282828282828,1.0
NELFA,4,8,15.615660518488053,15.829297734163934,-0.213637215675881,13.0,0.6828282828282828,1.0
VPS33B,4,8,19.39761577460733,19.451296302760277,-0.05368052815294533,13.0,0.6828282828282828,1.0
SORBS3,4,8,15.571638676103758,15.514264989765945,0.05737368633781337,19.0,0.6828282828282828,1.0
CELF1,4,8,15.17587409466647,15.211166423339463,-0.03529232867299292,19.0,0.6828282828282828,1.0
RBP4,4,8,15.715823314919527,15.479142110965299,0.23668120395422854,19.0,0.6828282828282828,1.0
M6PR,4,8,17.22744355902461,17.342790195644493,-0.11534663661988276,13.0,0.6828282828282828,1.0
PIK3C3,4,8,13.992965106960186,13.947794714646806,0.0451703923133806,19.0,0.6828282828282828,1.0
REXO2,4,8,15.511734950210757,15.768505635705019,-0.25677068549426174,13.0,0.6828282828282828,1.0
DCTD,4,8,16.344844250649203,16.476785978145866,-0.13194172749666322,13.0,0.6828282828282828,1.0
SIN3A,4,8,15.13561053823112,15.220188176427733,-0.08457763819661324,13.0,0.6828282828282828,1.0
ASCC2,4,8,15.035845253415234,15.364243339851257,-0.32839808643602275,13.0,0.6828282828282828,1.0
WASHC4,4,8,16.208498136330483,16.19301549995965,0.015482636370833802,13.0,0.6828282828282828,1.0
ARHGEF6,4,8,17.472538844909767,17.35395674235157,0.11858210255819657,19.0,0.6828282828282828,1.0
ARGLU1,4,8,19.618360252186335,19.2925938630355,0.3257663891508358,19.0,0.6828282828282828,1.0
FECH,4,8,13.353472558045468,13.544239506813943,-0.19076694876847533,13.0,0.6828282828282828,1.0
UBE2G1,4,8,16.160737205295835,16.37055447102638,-0.20981726573054615,13.0,0.6828282828282828,1.0
CD5,4,8,16.675946420279207,16.980200284507646,-0.30425386422843914,13.0,0.6828282828282828,1.0
SEC24B,4,8,15.574404487240445,15.379635864315738,0.1947686229247072,19.0,0.6828282828282828,1.0
ARL3,4,8,15.509419892084466,15.678717565508196,-0.16929767342372948,13.0,0.6828282828282828,1.0
RIC8A,4,8,15.632040895677328,15.771481169727192,-0.13944027404986414,13.0,0.6828282828282828,1.0
CD3D,4,8,12.795305012000954,13.213953861586887,-0.4186488495859333,13.0,0.6828282828282828,1.0
EXOC6B,4,8,13.659826368833706,13.850202894134231,-0.1903765253005254,19.0,0.6828282828282828,1.0
