,feature_type,axis1,axis2,axis3
ACTN4,gene,0.022306112697945902,0.01622975227378689,-0.005293480468305005
ACTR10,gene,-0.00780971097361339,0.0028406261972340517,-0.00416053599675285
ACTR1A,gene,-0.0056720780024108195,0.01776756898385487,-0.026976405718345066
ACTR1B,gene,-0.00668819503908486,0.006928765102489023,-0.00504021023972159
ACTR2,gene,-0.030197369816619895,-0.005609078679886309,-0.01734749705467249
ACTR3,gene,-0.030587965626342667,-0.004517565228513532,-0.015068462796018197
ACY1,gene,0.0216297854572968,-0.01262286402872017,-0.014651192028277688
ADA,gene,-0.02515112011745348,0.003174604556121015,-0.017115035360910184
ADAM10,gene,-0.008945959094146411,0.00011368822091167718,0.013312517223678802
ADAM17,gene,0.0013998065444495184,0.005414726568350014,-0.007897141410942277
ADAR,gene,0.012567690922704154,-0.014815769519061923,0.01177516261511143
ADD1,gene,-0.03725989446063166,-0.0008317815183338952,-0.003411196551613806
ADD3,gene,-0.035262557539947725,0.0019383466880563993,-0.0016986572431727542
ADGRE5,gene,-0.02271858986118749,-0.007437502918349379,-0.02936755282852049
ADH5,gene,-0.011122846345844673,0.007962146245337465,-0.0074820738125455
ADI1,gene,0.02227713652863227,0.002370094879728174,-0.017879320321703713
ADISSP,gene,0.00717119393255318,-0.0007215885272920634,-0.022994619668016667
ADK,gene,-0.014265709076238775,-0.02169761621606328,0.005007046259314007
ADNP,gene,0.020908340819613472,0.018119768832248518,0.0052108070745499925
ADO,gene,0.014770801359071946,0.004658539142509259,-0.0023943192006827692
ADPGK,gene,-0.015891060262791006,-0.015760337397794855,-0.024520535596668145
ADPRH,gene,-0.01886280637720172,-0.015318730738698199,-0.012281506128547923
ADPRS,gene,-0.0019655848059837995,-0.0033835503772192865,-0.026737993257059733
ADRM1,gene,0.021443476981494725,-0.0036265616772958704,-0.006390722287286094
ADSL,gene,0.007318878774733678,0.006507926362255948,-0.022661255020883557
ADSS2,gene,0.030487881688445243,-0.015077296369575893,-0.006363407496727658
AEBP1,gene,-0.0017681455074038152,0.030759139449768647,-0.04091609698293912
AFDN,gene,0.011510222879874396,0.0014828295686678018,0.008985620766627476
AFG3L2,gene,0.02393556285705665,0.002898397918903647,0.015042388141471871
AFM,gene,-0.013101352957244307,0.026279063059255526,-0.02904243525684613
AGA,gene,0.010517966883944706,0.0043530258175034035,0.020711263082520297
AGBL2,gene,0.007138965842608032,0.011403558750736835,0.0009212756150424388
AGFG1,gene,-0.016272329450214725,-0.016261225764085188,-0.0024401637341689556
AGK,gene,-0.003894269239285192,-0.008645565469347504,0.0031147048235432673
AGL,gene,-0.016619186404358006,-0.0008016259685565656,0.01141644231474346
AGO1,gene,-0.01776234264073202,0.014898482528172398,0.008909200569274304
AGO2,gene,0.007929638007884455,0.017214644133861416,-0.0005062637162933465
AGO3,gene,-0.007615505639215853,0.009738823062816733,0.02055171145138385
AGPS,gene,0.022499460004368536,-0.03458712198634383,-0.02620893516746889
AGR2,gene,0.0051797431814614775,0.019527811195655647,-0.005097142270509161
AGRN,gene,0.005270779851860251,0.02495002431730871,-0.01656728158540902
AGT,gene,-0.010525921231766001,0.03157485891072482,-0.031398093893002764
AHCTF1,gene,0.006085622388227506,0.023195851165503416,0.006676063771198393
AHCY,gene,0.038816369315864824,-0.009156257919805027,-0.011729729819689564
AHCYL1,gene,0.010606834846652135,0.004409642208074113,-0.003201648295080669
AHCYL2,gene,-0.006443896984075253,0.0050749911872084415,0.02270417920718499
AHNAK,gene,-0.016807114708310138,0.030114674865354376,-0.0036827122723861526
AHNAK2,gene,0.0049966154018464696,0.04021599595872961,-0.0017141604028836175
AHSA1,gene,0.019092172104630517,-0.0144098804171439,-0.008700658449002554
AHSG,gene,-0.009726932424206766,0.0219231083411973,-0.0320764552217044
AIDA,gene,-0.014433031110237214,-0.017376560205303485,-0.011770694849342275
AIFM1,gene,-0.001704266927666961,0.03201634260256554,0.008833299050327433
AIMP1,gene,0.012058536802188465,0.012938822857698151,-0.02286001116000259
AIMP2,gene,0.013152613484099247,-0.015430120201041312,-0.007396223122266871
AIP,gene,-0.03184595023698019,0.0008945505684850013,0.0031458617672800284
AK1,gene,0.014191294873381678,0.03239447488679412,0.018414391612156973
AK2,gene,0.02270142367999694,0.017777288090362404,-0.0009382645636431062
AK3,gene,-0.004521376689757216,-0.0023127122898992675,-0.001107839947140736
AKAP13,gene,-0.020305599060641825,0.018455037055474216,-0.0001236847422132025
AKAP17A,gene,0.006493506675725028,0.012605958244066127,-0.005540397058870033
AKAP9,gene,0.012377407632513465,-0.021250772147053565,0.016624476664003168
