,A,B,R_val,R_z_score,R_p_val
2885,Muscle_pericyte_airway,Muscle_perivascular_immune_recruiting,0.2898394402589589,78.50871910635871,0.0
486,B_plasmablast,Fibro_immune_recruiting,0.2893606550121595,78.3790306953555,0.0
2525,Macro_AW_CX3CR1,Secretory_Club,0.28859263371856386,78.17099700624566,0.0
2608,Macro_dividing,Muscle_pericyte_airway,0.28828628595828015,78.08801668362466,0.0
1245,DC_1,Muscle_pericyte_airway,0.28794884108770574,77.99661309640362,0.0
2470,Macro_interstitial,Muscle_pericyte_airway,0.2875504965165375,77.88871362620921,0.0
2905,Muscle_pericyte_airway,T_reg,0.28721091571086,77.79673147891059,0.0
2891,Muscle_pericyte_airway,NK_CD16hi,0.28707301020122306,77.75937705637364,0.0
508,B_plasmablast,Muscle_pericyte_airway,0.28702391046883197,77.74607742712013,0.0
1790,Endothelia_vascular_arterial_pulmonary,Fibro_peribronchial,0.2870089342300621,77.74202081797885,0.0
721,CD4_TRM,Muscle_pericyte_airway,0.28574213434100676,77.39888312572775,0.0
412,B_plasma_IgG,Fibro_alveolar,0.28567556187863063,77.3808506635334,0.0
2227,Fibro_peribronchial,Megakaryocyte,0.2854815907285323,77.3283097583888,0.0
101,AT2,Endothelia_Lymphatic,0.28528048823167507,77.27383718756391,0.0
113,AT2,Fibro_peribronchial,0.28523733525664174,77.26214835462775,0.0
925,CD8_EM_EMRA,Muscle_pericyte_airway,0.28493722991090675,77.18085891289556,0.0
188,B_memory,Fibro_immune_recruiting,0.28474785265816666,77.12956235530069,0.0
2137,Fibro_immune_recruiting,Macro_int,0.2840411193700694,76.93812972919305,0.0
2541,Macro_alveolar_metallothioneins,Muscle_pericyte_airway,0.284007041910008,76.92889917817685,0.0
2316,ILC,Muscle_pericyte_airway,0.28312499713177247,76.68997998321893,0.0
2906,Muscle_pericyte_airway,gdT,0.2831159750009318,76.68753616144203,0.0
2671,Macro_CCL,Muscle_pericyte_airway,0.2829227110353539,76.6351868111487,0.0
2395,MAIT,Muscle_pericyte_airway,0.2827317008373392,76.5834479381748,0.0
