A,B,R
B_plasma_IgG,Endothelia_vascular_arterial_pulmonary,-0.09045654535293579
B_plasma_IgG,Endothelia_vascular_arterial_systemic,-0.12004563212394714
B_plasma_IgG,Endothelia_vascular_venous_pulmonary,-0.09578882157802582
B_plasma_IgG,Endothelia_vascular_venous_systemic,-0.020848989486694336
B_plasma_IgG,Erythrocyte,0.17417997121810913
B_plasma_IgG,Fibro_adventitial,-0.0764712244272232
B_plasma_IgG,Fibro_alveolar,0.1386876255273819
B_plasma_IgG,Fibro_immune_recruiting,-0.0650353655219078
B_plasma_IgG,Fibro_myofibroblast,-0.05404581502079964
B_plasma_IgG,Fibro_peribronchial,-0.20104868710041046
B_plasma_IgG,Fibro_perichondrial,0.0590878427028656
B_plasma_IgG,ILC,0.07590296864509583
B_plasma_IgG,Ionocyte_n_Brush,-0.06265987455844879
B_plasma_IgG,MAIT,0.15020202100276947
B_plasma_IgG,Macro_CHIT1,0.3333582282066345
B_plasma_IgG,Macro_interstitial,0.2993268668651581
B_plasma_IgG,Macro_AW_CX3CR1,0.09459267556667328
B_plasma_IgG,Macro_alveolar_metallothioneins,0.263152152299881
B_plasma_IgG,Macro_alv,0.3753543198108673
B_plasma_IgG,Macro_dividing,0.33416831493377686
B_plasma_IgG,Macro_int,0.4166724681854248
B_plasma_IgG,Macro_CCL,0.23721712827682495
B_plasma_IgG,Mast_cell,0.17521925270557404
B_plasma_IgG,Megakaryocyte,-0.17229755222797394
B_plasma_IgG,Mesothelia,0.10179691761732101
B_plasma_IgG,Macrophage_intermediate,0.17997503280639648
B_plasma_IgG,Monocyte_CD14,0.2619285583496094
B_plasma_IgG,Monocyte_CD16,0.20209775865077972
B_plasma_IgG,Muscle_airway,-0.18922962248325348
B_plasma_IgG,Muscle_pericyte_airway,0.054933514446020126
B_plasma_IgG,Muscle_pericyte_parenchyma,0.04285048693418503
B_plasma_IgG,Muscle_perivascular_immune_recruiting,-0.034821633249521255
B_plasma_IgG,Muscle_smooth_pulmonary,-0.1852298229932785
B_plasma_IgG,Muscle_smooth_syst_arterial,-0.22029879689216614
B_plasma_IgG,Myoepithelial,-0.10122178494930267
B_plasma_IgG,NAF_endoneurial,-0.2510594427585602
B_plasma_IgG,NAF_perineurial,-0.23353585600852966
B_plasma_IgG,NK_CD16hi,0.04570527747273445
B_plasma_IgG,NKT,0.15399952232837677
B_plasma_IgG,NK_CD11d,0.014123308472335339
B_plasma_IgG,NK_CD56bright,0.02824556827545166
B_plasma_IgG,Neuroendocrine,-0.10714433342218399
B_plasma_IgG,SMG_Basal,-0.07435822486877441
B_plasma_IgG,SMG_Duct,-0.111539825797081
B_plasma_IgG,SMG_Mucous,-0.11289256066083908
B_plasma_IgG,SMG_Serous,-0.1072930321097374
B_plasma_IgG,Schwann_Myelinating,-0.16710186004638672
B_plasma_IgG,Schwann_nonmyelinating,-0.19348490238189697
B_plasma_IgG,Secretory_Club,0.17378860712051392
B_plasma_IgG,Secretory_Goblet,0.0021510866936296225
B_plasma_IgG,Suprabasal,-0.044916704297065735
B_plasma_IgG,T_reg,0.09164600074291229
B_plasma_IgG,gdT,0.0923435389995575
B_plasmablast,B_plasmablast,0.5365468859672546
B_plasmablast,Basal,-0.02626051940023899
B_plasmablast,CD4_EM_Effector,0.2510533630847931
B_plasmablast,CD4_TRM,0.25106021761894226
B_plasmablast,CD4_naive_CM,0.4545448422431946
B_plasmablast,CD8_EM,0.25224244594573975
B_plasmablast,CD8_EM_EMRA,0.32307249307632446
B_plasmablast,CD8_TRM_EM,0.2493715137243271
B_plasmablast,CD8_TRM,0.18469221889972687
B_plasmablast,Chondrocyte,0.29364004731178284
B_plasmablast,Ciliated,-0.02635093964636326
B_plasmablast,DC_1,0.39260900020599365
B_plasmablast,DC_2,0.31294238567352295
B_plasmablast,DC_activated,0.28263717889785767
B_plasmablast,DC_plasmacytoid,0.23631393909454346
B_plasmablast,Deuterosomal,-0.051430899649858475
B_plasmablast,Dividing_AT2,0.16834363341331482
B_plasmablast,Dividing_Basal,0.12412611395120621
B_plasmablast,Endothelia_Lymphatic,0.3522995412349701
B_plasmablast,Endothelia_vascular_Cap_a,0.18623287975788116
B_plasmablast,Endothelia_vascular_Cap_g,0.1785532534122467
B_plasmablast,Endothelia_vascular_arterial_pulmonary,0.06587310135364532
B_plasmablast,Endothelia_vascular_arterial_systemic,-0.06714703887701035
B_plasmablast,Endothelia_vascular_venous_pulmonary,0.19204998016357422
B_plasmablast,Endothelia_vascular_venous_systemic,0.18543072044849396
B_plasmablast,Erythrocyte,0.2707458436489105
B_plasmablast,Fibro_adventitial,0.23851490020751953
B_plasmablast,Fibro_alveolar,0.2121557891368866
B_plasmablast,Fibro_immune_recruiting,0.2909735441207886
B_plasmablast,Fibro_myofibroblast,0.2457396388053894
B_plasmablast,Fibro_peribronchial,0.06779308617115021
B_plasmablast,Fibro_perichondrial,0.008159086108207703
B_plasmablast,ILC,0.2717081606388092
B_plasmablast,Ionocyte_n_Brush,-0.02269136905670166
B_plasmablast,MAIT,0.29042670130729675
B_plasmablast,Macro_CHIT1,0.1865229457616806
B_plasmablast,Macro_interstitial,0.3308071792125702
B_plasmablast,Macro_AW_CX3CR1,0.2858212888240814
B_plasmablast,Macro_alveolar_metallothioneins,0.43410181999206543
B_plasmablast,Macro_alv,0.14901478588581085
B_plasmablast,Macro_dividing,0.1887863725423813
B_plasmablast,Macro_int,0.4406868517398834
B_plasmablast,Macro_CCL,0.3132447302341461
B_plasmablast,Mast_cell,0.3487253189086914
B_plasmablast,Megakaryocyte,0.05592302232980728
B_plasmablast,Mesothelia,0.4435223340988159
B_plasmablast,Macrophage_intermediate,0.38298308849334717
B_plasmablast,Monocyte_CD14,0.3875501751899719
B_plasmablast,Monocyte_CD16,0.38972586393356323
B_plasmablast,Muscle_airway,-0.16697922348976135
B_plasmablast,Muscle_pericyte_airway,0.3019077181816101
B_plasmablast,Muscle_pericyte_parenchyma,0.2034866362810135
B_plasmablast,Muscle_perivascular_immune_recruiting,0.29068323969841003
B_plasmablast,Muscle_smooth_pulmonary,-0.15996655821800232
B_plasmablast,Muscle_smooth_syst_arterial,-0.18852749466896057
B_plasmablast,Myoepithelial,0.17734982073307037
B_plasmablast,NAF_endoneurial,-0.11080524325370789
B_plasmablast,NAF_perineurial,-0.17885585129261017
B_plasmablast,NK_CD16hi,0.24510957300662994
B_plasmablast,NKT,0.3305632174015045
B_plasmablast,NK_CD11d,0.2137199193239212
B_plasmablast,NK_CD56bright,0.18306976556777954
B_plasmablast,Neuroendocrine,0.14937373995780945
B_plasmablast,SMG_Basal,0.03560148552060127
B_plasmablast,SMG_Duct,0.19795063138008118
B_plasmablast,SMG_Mucous,0.16180677711963654
B_plasmablast,SMG_Serous,0.1962815821170807
B_plasmablast,Schwann_Myelinating,0.07727482169866562
B_plasmablast,Schwann_nonmyelinating,-0.1054292544722557
B_plasmablast,Secretory_Club,0.08105021715164185
B_plasmablast,Secretory_Goblet,0.006294887978583574
B_plasmablast,Suprabasal,-0.01664838194847107
B_plasmablast,T_reg,0.2534100413322449
B_plasmablast,gdT,0.2787362337112427
Basal,Basal,0.41212210059165955
Basal,CD4_EM_Effector,0.23982734978199005
Basal,CD4_TRM,0.28271162509918213
Basal,CD4_naive_CM,-0.04822833836078644
Basal,CD8_EM,0.24499742686748505
Basal,CD8_EM_EMRA,0.09888146072626114
Basal,CD8_TRM_EM,0.22323524951934814
Basal,CD8_TRM,0.30309176445007324
Basal,Chondrocyte,0.10988078266382217
Basal,Ciliated,0.36879223585128784
